,Compound,Date,Negative,Neutral,Positive,Tweets Ago
73,0.0387,Fri Jun 01 18:58:19 +0000 2018,0.882,0.056,0.062,74
74,0.0,Fri Jun 01 18:58:16 +0000 2018,1.0,0.0,0.0,75
75,-0.5267,Fri Jun 01 18:58:13 +0000 2018,0.833,0.167,0.0,76
76,0.0,Fri Jun 01 18:58:09 +0000 2018,1.0,0.0,0.0,77
77,0.0,Fri Jun 01 18:47:06 +0000 2018,1.0,0.0,0.0,78
78,0.2023,Fri Jun 01 17:38:28 +0000 2018,0.816,0.0,0.184,79
79,0.0,Fri Jun 01 17:15:11 +0000 2018,1.0,0.0,0.0,80
80,-0.0516,Fri Jun 01 17:04:15 +0000 2018,0.743,0.132,0.125,81
81,0.0,Fri Jun 01 17:03:58 +0000 2018,1.0,0.0,0.0,82
82,0.0,Fri Jun 01 17:02:30 +0000 2018,1.0,0.0,0.0,83
83,-0.5256,Fri Jun 01 17:02:28 +0000 2018,0.861,0.139,0.0,84
84,0.0,Fri Jun 01 16:04:55 +0000 2018,1.0,0.0,0.0,85
85,-0.5106,Fri Jun 01 15:51:08 +0000 2018,0.837,0.163,0.0,86
86,-0.2732,Fri Jun 01 15:29:17 +0000 2018,0.769,0.231,0.0,87
87,0.0,Fri Jun 01 15:24:11 +0000 2018,1.0,0.0,0.0,88
88,-0.6369,Fri Jun 01 15:21:21 +0000 2018,0.84,0.16,0.0,89
89,0.0,Fri Jun 01 14:54:48 +0000 2018,1.0,0.0,0.0,90
90,0.128,Fri Jun 01 14:53:27 +0000 2018,0.941,0.0,0.059,91
91,0.0,Fri Jun 01 14:52:29 +0000 2018,1.0,0.0,0.0,92
92,0.0,Fri Jun 01 14:28:59 +0000 2018,1.0,0.0,0.0,93
93,0.3182,Fri Jun 01 14:14:20 +0000 2018,0.753,0.0,0.247,94
94,0.3612,Fri Jun 01 14:14:18 +0000 2018,0.783,0.0,0.217,95
95,-0.7845,Fri Jun 01 14:14:18 +0000 2018,0.537,0.463,0.0,96
96,0.0,Fri Jun 01 13:17:25 +0000 2018,1.0,0.0,0.0,97
97,0.0,Fri Jun 01 13:11:21 +0000 2018,1.0,0.0,0.0,98
98,-0.3818,Fri Jun 01 13:07:14 +0000 2018,0.776,0.224,0.0,99
99,-0.3818,Fri Jun 01 13:03:43 +0000 2018,0.729,0.271,0.0,100
