,Compound,Date,Negative,Neutral,Positive,Tweets Ago
73,0.3612,Sun Jun 03 02:30:11 +0000 2018,0.865,0.0,0.135,74
74,0.0,Sun Jun 03 02:00:13 +0000 2018,1.0,0.0,0.0,75
75,-0.5574,Sun Jun 03 01:33:37 +0000 2018,0.847,0.153,0.0,76
76,0.4404,Sun Jun 03 01:30:10 +0000 2018,0.775,0.0,0.225,77
77,-0.4939,Sun Jun 03 01:00:07 +0000 2018,0.657,0.227,0.116,78
78,0.0,Sun Jun 03 00:30:04 +0000 2018,1.0,0.0,0.0,79
79,0.2023,Sun Jun 03 00:00:12 +0000 2018,0.921,0.0,0.079,80
80,-0.6124,Sat Jun 02 23:46:19 +0000 2018,0.826,0.174,0.0,81
81,0.2023,Sat Jun 02 23:30:04 +0000 2018,0.878,0.0,0.122,82
82,0.0,Sat Jun 02 23:20:12 +0000 2018,1.0,0.0,0.0,83
83,0.0,Sat Jun 02 23:15:43 +0000 2018,1.0,0.0,0.0,84
84,0.765,Sat Jun 02 23:00:06 +0000 2018,0.625,0.0,0.375,85
85,0.0,Sat Jun 02 23:00:01 +0000 2018,1.0,0.0,0.0,86
86,-0.34,Sat Jun 02 22:45:40 +0000 2018,0.72,0.169,0.11,87
87,0.0,Sat Jun 02 22:30:13 +0000 2018,1.0,0.0,0.0,88
88,0.3612,Sat Jun 02 22:30:00 +0000 2018,0.839,0.0,0.161,89
89,0.0,Sat Jun 02 22:18:15 +0000 2018,1.0,0.0,0.0,90
90,-0.4215,Sat Jun 02 22:15:00 +0000 2018,0.887,0.113,0.0,91
91,0.3612,Sat Jun 02 22:00:16 +0000 2018,0.839,0.0,0.161,92
92,0.0,Sat Jun 02 21:45:06 +0000 2018,1.0,0.0,0.0,93
93,0.0,Sat Jun 02 21:30:11 +0000 2018,1.0,0.0,0.0,94
94,-0.5267,Sat Jun 02 21:15:09 +0000 2018,0.606,0.283,0.111,95
95,0.0,Sat Jun 02 21:00:13 +0000 2018,1.0,0.0,0.0,96
96,0.0,Sat Jun 02 20:45:05 +0000 2018,1.0,0.0,0.0,97
97,-0.0772,Sat Jun 02 20:30:10 +0000 2018,0.737,0.138,0.124,98
98,-0.6369,Sat Jun 02 20:15:06 +0000 2018,0.634,0.366,0.0,99
99,-0.8481,Sat Jun 02 20:00:05 +0000 2018,0.594,0.406,0.0,100
