,Compound,Date,Negative,Neutral,Positive,Tweets Ago
73,-0.7003,Sun Jun 03 17:26:40 +0000 2018,0.674,0.326,0.0,74
74,0.0,Sun Jun 03 17:15:46 +0000 2018,1.0,0.0,0.0,75
75,0.128,Sun Jun 03 17:09:44 +0000 2018,0.662,0.152,0.185,76
76,0.8126,Sun Jun 03 17:06:16 +0000 2018,0.519,0.0,0.481,77
77,0.5707,Sun Jun 03 17:01:00 +0000 2018,0.83,0.0,0.17,78
78,-0.4404,Sun Jun 03 16:49:20 +0000 2018,0.861,0.139,0.0,79
79,0.0,Sun Jun 03 16:41:00 +0000 2018,1.0,0.0,0.0,80
80,0.7096,Sun Jun 03 16:32:00 +0000 2018,0.576,0.091,0.333,81
81,-0.8176,Sun Jun 03 16:30:25 +0000 2018,0.667,0.333,0.0,82
82,0.4939,Sun Jun 03 16:19:37 +0000 2018,0.814,0.0,0.186,83
83,0.7351,Sun Jun 03 16:14:02 +0000 2018,0.492,0.0,0.508,84
84,0.8176,Sun Jun 03 16:07:00 +0000 2018,0.694,0.0,0.306,85
85,-0.7096,Sun Jun 03 15:54:00 +0000 2018,0.753,0.247,0.0,86
86,0.34,Sun Jun 03 15:46:00 +0000 2018,0.893,0.0,0.107,87
87,-0.4215,Sun Jun 03 15:45:00 +0000 2018,0.872,0.128,0.0,88
88,-0.5719,Sun Jun 03 15:42:57 +0000 2018,0.622,0.266,0.112,89
89,0.7096,Sun Jun 03 15:41:15 +0000 2018,0.718,0.0,0.282,90
90,0.0,Sun Jun 03 15:37:46 +0000 2018,1.0,0.0,0.0,91
91,0.0,Sun Jun 03 15:35:50 +0000 2018,1.0,0.0,0.0,92
92,-0.5859,Sun Jun 03 15:34:33 +0000 2018,0.652,0.348,0.0,93
93,0.1695,Sun Jun 03 15:26:41 +0000 2018,0.906,0.0,0.094,94
94,0.7557,Sun Jun 03 15:18:12 +0000 2018,0.695,0.0,0.305,95
95,0.0,Sun Jun 03 15:16:00 +0000 2018,1.0,0.0,0.0,96
96,-0.5423,Sun Jun 03 15:09:50 +0000 2018,0.759,0.241,0.0,97
97,-0.25,Sun Jun 03 15:05:00 +0000 2018,0.905,0.095,0.0,98
98,0.0,Sun Jun 03 14:57:00 +0000 2018,1.0,0.0,0.0,99
99,0.4019,Sun Jun 03 14:54:51 +0000 2018,0.787,0.0,0.213,100
